id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
11766,Rules of Enragement ,"Stanley McChrystal
Chris Fussell
Tantum Collins
David Silverman",,Leadership,2015,304 pages,Portfolio Hardcover ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435278580l/22529127.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=22529127&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/22529127-team-of-teams?from_search=true&from_srp=true&qid=I462WwB8dK&rank=1
2323,I Used to Bea Miserable FckAn Everyman's Guide to a Meaningful Life,,,,,,,,,,
11502,"Choose the Life You Want, The Mindful Way to Happiness ",Tal Ben-Shahar,,Self Help,2014,305 pages,The Experiment ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385455960l/18959832.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=18959832&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.49,https://www.goodreads.com/book/show/18959832-choose-the-life-you-want?from_search=true&from_srp=true&qid=HQK98cA4dT&rank=1
213,The Longest Winter ,Alex Kershaw,,History,2004,344 pages,Da Capo Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387740265l/1312031.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1312031&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/1312031.The_Longest_Winter?from_search=true&from_srp=true&qid=oG6z2S8fSX&rank=1
2005,Learn How to Sing Speech Level ,,,,,,,,,,
2551,Understanding Cyber Conflict ,George Perkovich,,Nonfiction,2017,312 pages,Georgetown University Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515160630l/35253977.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35253977&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/35253977-understanding-cyber-conflict?from_search=true&from_srp=true&qid=mDtK8Nnweg&rank=1
642,Black Site The CIA in the Post-911 World ,Philip Mudd,,Nonfiction,2019,272 pages,Liveright,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487351715l/34082134.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=34082134&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.16,https://www.goodreads.com/book/show/34082134-black-site?from_search=true&from_srp=true&qid=boQpXatLOn&rank=1
11454,Among Others,Jo Walton,,Fantasy,2011,304 pages,Tor Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317792367l/8706185.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=8706185&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/8706185-among-others?from_search=true&from_srp=true&qid=EoO9a20ADP&rank=1
11522,"The Madness of Crowds Gender, Race and Identity ",Douglas Murray,,Nonfiction,2019,288 pages,Bloomsbury Continuum,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563764418l/44667183.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=44667183&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.29,https://www.goodreads.com/book/show/44667183-the-madness-of-crowds?from_search=true&from_srp=true&qid=fhNpEjoWnP&rank=1
11498,Bodybuilding for Beginners ,Kyle Hunt,,,2019,269 pages,Rockridge Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564459574l/52797110._SX318_SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=52797110&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.00,https://www.goodreads.com/book/show/52797110-bodybuilding-for-beginners?from_search=true&from_srp=true&qid=ceq1wasF0c&rank=1
1197,The History of Jihad ,Robert Spencer,,History,2018,448 pages,Bombardier Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527540352l/39296051.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=39296051&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/39296051-the-history-of-jihad?from_search=true&from_srp=true&qid=cUtIBxQyHw&rank=1
11446,Chasing Rubi ,Marty Wall,,,2005,231 pages,Literary Press Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180210363l/1010850._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1010850&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/1010850.Chasing_Rubi?from_search=true&from_srp=true&qid=9VoO0M5IYj&rank=1
11478,The Al Advantage,Al Siebert,,Nonfiction,2005,225 pages,Berrett-Koehler Publishers ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328747463l/864350.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=864350&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/864350.The_Resiliency_Advantage?from_search=true&from_srp=true&qid=faTw0ySszX&rank=1
11750,Woody Allen,Woody Allen,,Fiction,1992,473 pages,Wing Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388295515l/55370.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=55370&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/55370.The_Complete_Prose_of_Woody_Allen?from_search=true&from_srp=true&qid=q7wsuwSwVm&rank=1
11488,Voice Singing Lessons,Lilly Barnes,,,,6 pages,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444706072l/27159069._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=27159069&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.99,https://www.goodreads.com/book/show/27159069-how-to-improve-your-singing-voice-without-lessons?from_search=true&from_srp=true&qid=mRJKOEUCd0&rank=1
681,Hypnosis- Tricks of the Mind ,,,,,,,,,,
2692,Magic- Tricks of the Mind ,Marc Lemezma,,,2007,96 pages,New Holland ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328842313l/748973.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=748973&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/748973.Marc_Lemezma_s_Mind_Tricks?from_search=true&from_srp=true&qid=LNBTYnEQt4&rank=1
11770,The White Album ,Joan Didion,,Nonfiction,1990,222 pages,Farrar Straus Giroux ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176868l/421.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=421&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,10.16,https://www.goodreads.com/book/show/421.The_White_Album?from_search=true&from_srp=true&qid=Dp3PhqgzQK&rank=1
11470,"No Self, No Problem How Neuropsychology is Catching Up to Buddhism",Chris Niebauer,,Psychology,2019,192 pages,Hierophant Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563026052l/44442944.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=44442944&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.99,https://www.goodreads.com/book/show/44442944-no-self-no-problem?from_search=true&from_srp=true&qid=Kv3lYyPzC3&rank=1
1368,"Six Weeks to Take Charge ofYour Habits, Goals, and Emotional Patterns ",,,,,,,,,,
11758,Joe Rogan,T.J Whistler,,,2016,30 pages,Createspace Independent Publishing Platform,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482680282l/33565201._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=33565201&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/33565201-smartbios-joe-rogan?from_search=true&from_srp=true&qid=zsJzmdorq0&rank=1
