id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
770,Jailbird,Mim Skinner,,Nonfiction,2019,304 pages,Seven Dials,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553076283l/43616550.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=43616550&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,8.99,https://www.goodreads.com/book/show/43616550-jailbirds?from_search=true&from_srp=true&qid=YcnTDVXJvw&rank=1
772,Kurt Vonnegut Jr Audio Collection,Kurt Vonnegut Jr.,,Fiction,1995,4 pages,Caedmon ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1255827549l/9611.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=9611&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/9611.The_Kurt_Vonnegut_Jr_Audio_Collection?from_search=true&from_srp=true&qid=y6Mqf2vj45&rank=1
774,Player Piano,Kurt Vonnegut Jr.,,Fiction,2006,341 pages,Dial Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506301341l/9597._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=9597&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,12.99,https://www.goodreads.com/book/show/9597.Player_Piano?from_search=true&from_srp=true&qid=xslcUTq8dl&rank=1
776,Slaughterhouse-Five,Kurt Vonnegut Jr.,,Classics,1999,275 pages,Dial Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389l/4981.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=4981&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,7.99,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five?from_search=true&from_srp=true&qid=LR0TxNMGzq&rank=1
778,The Sirens of Titan,Kurt Vonnegut Jr.,,Science Fiction,1999,224 pages,Gollancz ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419363185l/4982.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=4982&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan?from_search=true&from_srp=true&qid=CQ0wdBhzAO&rank=1
780,Timequake,Kurt Vonnegut Jr.,,Fiction,,276 pages,RosettaBooks ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482743991l/33586715.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=33586715&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/33586715-timequake?from_search=true&from_srp=true&qid=7KGIBEZqY4&rank=1
809,TTC Audio - Biology ,,,,,,,,,,
852,The Gulag Archipelago ,"Aleksandr Solzhenitsyn
Edward E. Ericson Jr.",,History,2002,472 pages,HarperCollins ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388293026l/70561.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=70561&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/70561.The_Gulag_Archipelago_1918_1956?from_search=true&from_srp=true&qid=7q53q2mtmo&rank=1
942,Billion Dollar Whale,"Tom Wright
Bradley Hope",,Nonfiction,2018,400 pages,Hachette Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534271010l/38743564.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=38743564&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/38743564-billion-dollar-whale?from_search=true&from_srp=true&qid=24txCPDLnl&rank=1
966,Dating Essentials for Men The Only Dating Guide You Will Ever Need,Robert A. Glover,,Relationships,,216 pages,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557412753l/45696555._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=45696555&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/45696555-dating-essentials-for-men?from_search=true&from_srp=true&qid=QK79nsEpHM&rank=1
1021,Caffeine,Michael Pollan,,Nonfiction,2020,3 pages,Audible Original,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583959496l/52300107._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=52300107&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/52300107-caffeine?from_search=true&from_srp=true&qid=ZrC5FQDUjN&rank=1
